Target Distance (in),Hood Angle (deg),Shot Exit Velocity (ips),Flywheel Command Speed (ips)
78,36.9,153.40,211.76
78,31.9,151.70,209.70
79,76.9,NaN,NaN
79,71.9,249.92,304.00
79,66.9,205.00,268.72
79,61.9,188.86,252.38
79,56.9,179.99,243.40
79,51.9,170.05,232.00
79,46.9,160.17,220.00
79,41.9,157.95,217.30
79,36.9,154.37,212.94
79,31.9,152.70,210.91
80,76.9,NaN,NaN
80,71.9,252.17,305.60
80,66.9,206.01,269.74
80,61.9,189.80,253.33
80,56.9,180.83,244.26
80,51.9,171.14,233.33
80,46.9,161.09,221.11
80,41.9,158.84,218.38
80,36.9,155.34,214.12
80,31.9,153.69,212.12
81,76.9,NaN,NaN
81,71.9,254.42,307.20
81,66.9,207.02,270.77
81,61.9,190.74,254.29
81,56.9,181.67,245.11
81,51.9,172.24,234.67
81,46.9,162.00,222.22
81,41.9,159.73,219.46
81,36.9,156.30,215.29
81,31.9,154.69,213.33
82,76.9,NaN,NaN
82,71.9,256.67,308.80
82,66.9,208.04,271.79
82,61.9,191.68,255.24
82,56.9,182.51,245.96
82,51.9,173.34,236.00
82,46.9,162.92,223.33
82,41.9,160.62,220.54
82,36.9,157.27,216.47
82,31.9,155.69,214.55
83,76.9,NaN,NaN
83,71.9,258.92,310.40
83,66.9,209.05,272.82
83,61.9,192.62,256.19
83,56.9,183.35,246.81
83,51.9,174.43,237.33
83,46.9,163.83,224.44
83,41.9,161.51,221.62
83,36.9,158.24,217.65
83,31.9,156.68,215.76
84,76.9,NaN,NaN
84,71.9,261.17,312.00
84,66.9,210.06,273.85
84,61.9,193.56,257.14
84,56.9,184.19,247.66
84,51.9,175.53,238.67
84,46.9,164.74,225.56
84,41.9,162.40,222.70
84,36.9,159.21,218.82
84,31.9,157.68,216.97
85,76.9,NaN,NaN
85,71.9,263.43,313.60
85,66.9,211.07,274.87
85,61.9,194.50,258.10
85,56.9,185.03,248.51
85,51.9,176.63,240.00
85,46.9,165.66,226.67
85,41.9,163.29,223.78
85,36.9,160.17,220.00
85,31.9,158.68,218.18
86,76.9,NaN,NaN
86,71.9,265.68,315.20
86,66.9,212.09,275.90
86,61.9,195.44,259.05
86,56.9,185.87,249.36
86,51.9,177.43,240.82
86,46.9,166.57,227.78
86,41.9,164.18,224.86
86,36.9,161.14,221.18
86,31.9,159.68,219.39
87,76.9,NaN,NaN
87,71.9,267.93,316.80
87,66.9,213.10,276.92
87,61.9,196.38,260.00
87,56.9,186.71,250.21
87,51.9,178.24,241.63
87,46.9,167.49,228.89
87,41.9,165.07,225.95
87,36.9,162.11,222.35
87,31.9,160.67,220.61
88,76.9,NaN,NaN
88,71.9,270.18,318.40
88,66.9,214.11,277.95
88,61.9,197.32,260.95
88,56.9,187.56,251.06
88,51.9,179.05,242.45
88,46.9,168.40,230.00
88,41.9,165.95,227.03
88,36.9,163.08,223.53
88,31.9,161.67,221.82
89,76.9,NaN,NaN
89,71.9,272.43,320.00
89,66.9,215.13,278.97
89,61.9,198.26,261.90
89,56.9,188.40,251.91
89,51.9,179.85,243.27
89,46.9,169.31,231.11
89,41.9,166.84,228.11
89,36.9,164.05,224.71
89,31.9,162.67,223.03
90,76.9,NaN,NaN
90,71.9,275.11,322.35
90,66.9,216.14,280.00
90,61.9,199.21,262.86
90,56.9,189.24,252.77
90,51.9,180.66,244.08
90,46.9,170.23,232.22
90,41.9,167.73,229.19
90,36.9,165.01,225.88
90,31.9,163.66,224.24
91,76.9,NaN,NaN
91,71.9,277.79,324.71
91,66.9,217.90,281.25
91,61.9,200.15,263.81
91,56.9,190.08,253.62
91,51.9,181.46,244.90
91,46.9,171.14,233.33
91,41.9,168.62,230.27
91,36.9,165.98,227.06
91,31.9,164.66,225.45
92,76.9,NaN,NaN
92,71.9,280.47,327.06
92,66.9,219.66,282.50
92,61.9,201.09,264.76
92,56.9,190.92,254.47
92,51.9,182.27,245.71
92,46.9,172.06,234.44
92,41.9,169.51,231.35
92,36.9,166.95,228.24
92,31.9,165.66,226.67
93,76.9,NaN,NaN
93,71.9,283.15,329.41
93,66.9,221.42,283.75
93,61.9,202.03,265.71
93,56.9,191.76,255.32
93,51.9,183.08,246.53
93,46.9,172.97,235.56
93,41.9,170.40,232.43
93,36.9,167.92,229.41
93,31.9,166.66,227.88
94,76.9,NaN,NaN
94,71.9,285.83,331.76
94,66.9,223.18,285.00
94,61.9,202.97,266.67
94,56.9,192.60,256.17
94,51.9,183.88,247.35
94,46.9,173.88,236.67
94,41.9,171.29,233.51
94,36.9,168.88,230.59
94,31.9,167.65,229.09
95,76.9,NaN,NaN
95,71.9,288.50,334.12
95,66.9,224.94,286.25
95,61.9,203.91,267.62
95,56.9,193.44,257.02
